id,type,parentid
1GDrnpCoPGrBB2gTjNOooqKbOJFrNHe2bOrFPS7mzhNs,presentation,0AFqO9IFXquq6Uk9PVA
0B1qO9IFXquq6aWNFSVo4eFFsTG5XNE5GRjZwdmlYZnI2LW9n,file,0AFqO9IFXquq6Uk9PVA
0B1qO9IFXquq6WUZydVZpTm9aNTNVQWFZcWFqTFg1Wk5tOFo4,file,0AFqO9IFXquq6Uk9PVA
0B3cSCt_ytZL5Z2k3aWdiVEpjdzg,folder,0BwdT3AU3CbQCOU1hTzBveTNHRkU
0B1qO9IFXquq6ZnZKN2dBX09mVmNheEFSbTdPRTBtTENCelJN,file,0AFqO9IFXquq6Uk9PVA
1UeaqZ9Jh7taCDbacxX-M4XZcoBda4j0BnRpVYLbQcIE,spreadsheet,0AFqO9IFXquq6Uk9PVA
0B1qO9IFXquq6QmNwajFaekNLVGM,file,0AFqO9IFXquq6Uk9PVA
1kTLgDQn5OMIycGlNIMuzhCEsczrkMyA_O6hrjKURRss,spreadsheet,0AFqO9IFXquq6Uk9PVA
1NGBtjH8xOd9mhcHSGwtMgh5hQmEvgz9Oj9bfvOr7qUk,presentation,0AFqO9IFXquq6Uk9PVA
14klDzVsDdwe2Ce_8iJRt-u_WgNYmkfimS7UsOLGldZU,presentation,0AFqO9IFXquq6Uk9PVA
1jKo52tRVqM4vHE7_Z30usCntHXCH7R2ufSAL4vp40oQ,document,0AFqO9IFXquq6Uk9PVA
1QQHZdV3RcI31WV6-rvl4jgTbze06AwHENuWlqcZyhdk,document,0AFqO9IFXquq6Uk9PVA
0B3cSCt_ytZL5SkI1TjNuWFhkclU,folder,0BwdT3AU3CbQCOU1hTzBveTNHRkU
0B3cSCt_ytZL5RTM1aXlwdFBXTFU,folder,0BwdT3AU3CbQCOU1hTzBveTNHRkU
0B3cSCt_ytZL5UzhnQ1l3RnVNeE0,folder,0BwdT3AU3CbQCOU1hTzBveTNHRkU
0B3cSCt_ytZL5Q1Z0WjgwQzJXUFE,folder,0BwdT3AU3CbQCOU1hTzBveTNHRkU
0B3cSCt_ytZL5RUdOZnMyWm8zR1U,folder,0BwdT3AU3CbQCOU1hTzBveTNHRkU
0B3cSCt_ytZL5ajJjajhwcVNIUjQ,folder,0BwdT3AU3CbQCOU1hTzBveTNHRkU
0B3cSCt_ytZL5QkpoQkI4VWJYa00,folder,0BwdT3AU3CbQCOU1hTzBveTNHRkU
0B1qO9IFXquq6a0tadXE5aEhBRlE,folder,0AFqO9IFXquq6Uk9PVA
0B1qO9IFXquq6VmlIWWZiWHBvSDQ,file,0B1qO9IFXquq6aW5wQ0ticFkyemM
0B1qO9IFXquq6SU02LXlFOU9VMGs,file,0B1qO9IFXquq6aW5wQ0ticFkyemM
0B1qO9IFXquq6d3lxS3U5UkdhcTg,file,0B1qO9IFXquq6aW5wQ0ticFkyemM
0B1qO9IFXquq6OGhSNEpGWC1pbW8,file,0B1qO9IFXquq6aW5wQ0ticFkyemM
0B1qO9IFXquq6aDBTcWVyWVVPS1E,file,0B1qO9IFXquq6aW5wQ0ticFkyemM
0B1qO9IFXquq6RWUwRzJESU8wR28,file,0B1qO9IFXquq6aW5wQ0ticFkyemM
0B1qO9IFXquq6VV9zWDRhUGh0SFVLVHF6Ti1uanphcVp2SnVR,file,0AFqO9IFXquq6Uk9PVA
0B1qO9IFXquq6TG1UaGtwWU5Bb2c,file,0B1qO9IFXquq6RkcyckFibENmVDQ
0B1qO9IFXquq6aHAtc0wtRDF5ODg,file,0B1qO9IFXquq6RkcyckFibENmVDQ
0B1qO9IFXquq6Tk1wZFUtT3pJQzg,file,0B1qO9IFXquq6cnV1LURybHZSU0k
0B1qO9IFXquq6ZU8tY205S1p1ZWs,file,0B1qO9IFXquq6cnV1LURybHZSU0k
0B1qO9IFXquq6X21MTXJ1d0xkbXM,file,0B1qO9IFXquq6SmNITjNTM2hIejQ
0B1qO9IFXquq6aGhhVktVZGlEZ28,file,0B1qO9IFXquq6SmNITjNTM2hIejQ
0B1qO9IFXquq6bzlhd29IU0ZtMlU,file,0B1qO9IFXquq6SmNITjNTM2hIejQ
0B1qO9IFXquq6UlFYRjFuRWZJQjg,file,0B1qO9IFXquq6SmNITjNTM2hIejQ
0B1qO9IFXquq6cnZxNGt5TndJVjg,file,0B1qO9IFXquq6cnV1LURybHZSU0k
0B1qO9IFXquq6VW1SS2FrcjVQa00,file,0AFqO9IFXquq6Uk9PVA
1yFBvMq5jOpAVYlP01dLZtsk7NNU7GkyFcybvdWs25kU,document,0B1qO9IFXquq6bEJ2cF9IcnRBeFU
1Viml6lp1fKTnkhiUqgfe_fzfg7Pc0oPmxnUhoT_Rw0o,document,0B1qO9IFXquq6dlNURzRKdmsxRVE
1KS8RFWVUET9AVB8HUoBdgyi0hR9fxe2t5I4sJMg6IRo,document,0B1qO9IFXquq6TG04XzZKeXJiMzA
1jKbCsST4pMUacIfXIcVanjt57Gvm53KdkZFDSRFK82Y,document,0B1qO9IFXquq6TG04XzZKeXJiMzA
1iDfBjcR71d_AAz_QR1tOpqTJf8iXBIn9JOQQgwBEqWU,document,0B1qO9IFXquq6bEJ2cF9IcnRBeFU
1ZgbaQ8F140JfDQthp7pMmTVwB_9MIOsmhT4eYNNhsuc,document,0B1qO9IFXquq6bEJ2cF9IcnRBeFU
1yWd137nn50aZGrS3JGCWh7-00aFzfz8lNO3nAsbmvqw,document,0B1qO9IFXquq6SEFwTkdHTE54Z28
1sCqpgWi1xyNrQuqjBuakeCRXcydlwXBzGT4qCVw1xNM,document,0B1qO9IFXquq6eUVYREVaYW5BTkU
1FfZqZWPIGWwu6YnWOFnPsOtvCMRUzdPu8ZawHj-tnH0,document,0AFqO9IFXquq6Uk9PVA
0B1qO9IFXquq6U0dzR1psLUlrOEU,file,0AFqO9IFXquq6Uk9PVA
1jmIREOgfoEUkjvKBpJURmdJ8VnYfpwHCFt1ukxu8nHA,document,0B1qO9IFXquq6bEJ2cF9IcnRBeFU
1yyHtyCIk1dv28ZdqAnUXP8UgWqunXIZh3PzbnxNjNkQ,document,0B1qO9IFXquq6bEJ2cF9IcnRBeFU
0B1qO9IFXquq6djNUdm4tVGdxaFk,file,0AFqO9IFXquq6Uk9PVA
0B1qO9IFXquq6T2xubFB5Z3J0aVk,file,0AFqO9IFXquq6Uk9PVA
0B1qO9IFXquq6dkp6dkhOaDhsRkE,file,0AFqO9IFXquq6Uk9PVA
0B1qO9IFXquq6VGdNb09PSVdJdE0,file,0AFqO9IFXquq6Uk9PVA
0B1qO9IFXquq6bi1yelBqT2dVcnc,file,0AFqO9IFXquq6Uk9PVA
0B1qO9IFXquq6RUtuMU9pM21KYlU,file,0AFqO9IFXquq6Uk9PVA
